                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.6774,                0.99032,                0.79144,                0.94688,                0.60447,                0.56067,                0.55618,                0.40187,                0.58905,                 0.5558,                0.53852,                0.35884,                0.69153,                0.99902,                0.82796,                 0.8766,                0.07037,              0.0032922,              0.0032922
                      1,                0.72176,                0.91936,                0.78746,                 0.9416,                0.60905,                0.60673,                0.58174,                0.41154,                0.60106,                0.59753,                0.56894,                  0.367,                0.76775,                0.96034,                0.80372,                0.88989,               0.040357,              0.0066124,              0.0066124
                      2,                0.79335,                0.98488,                0.81832,                0.96928,                0.63022,                0.59751,                0.57542,                0.40151,                0.62723,                0.59394,                0.57697,                0.38006,                0.74599,                 1.0459,                0.86753,                0.89729,               0.010331,              0.0099194,              0.0099194
                      3,                0.84953,                  1.124,                0.84485,                 1.0043,                0.61876,                0.61736,                0.57014,                0.38827,                 0.5926,                0.59923,                  0.548,                0.35799,                 0.8732,                  1.132,                0.86792,                0.95399,              0.0099406,              0.0099406,              0.0099406
                      4,                0.84793,                 1.1011,                0.80316,                 1.0008,                0.66408,                0.64964,                0.61918,                0.42067,                0.65326,                0.61527,                0.58016,                0.36343,                0.78722,                 1.0727,                 0.7641,                0.91389,              0.0099406,              0.0099406,              0.0099406
                      5,                0.83278,                 1.0713,                0.77504,                0.99907,                0.64032,                0.67229,                0.62005,                0.40194,                0.61109,                0.63829,                0.58197,                0.34693,                0.85801,                 1.4051,                0.77809,                 0.9528,              0.0099208,              0.0099208,              0.0099208
                      6,                0.82424,                 1.0957,                0.75365,                0.99688,                0.62264,                0.60217,                0.56615,                0.38743,                0.60882,                0.57852,                0.55124,                0.37548,                0.78612,                 1.0907,                0.75986,                0.92803,               0.009901,               0.009901,               0.009901
                      7,                 0.8174,                 1.0352,                0.72323,                0.99386,                0.66087,                0.64746,                0.64218,                0.44188,                0.66083,                0.63764,                 0.6234,                0.38491,                0.76163,                 1.1038,                0.71993,                0.91259,              0.0098812,              0.0098812,              0.0098812
                      8,                0.79664,                 1.0319,                0.69866,                0.98513,                0.69585,                0.64455,                0.65307,                0.45047,                0.67644,                0.62367,                0.61784,                0.40737,                0.75301,                0.99507,                0.68325,                0.90855,              0.0098614,              0.0098614,              0.0098614
                      9,                0.79123,                 1.0225,                0.69104,                 0.9868,                0.69802,                0.68088,                0.66204,                0.43566,                0.67368,                0.67563,                0.63436,                0.39413,                0.76371,                 1.0219,                0.66841,                0.90279,              0.0098416,              0.0098416,              0.0098416
                     10,                0.78714,                 1.0381,                0.67398,                0.98995,                0.71014,                0.63449,                0.63098,                0.41741,                0.67637,                0.59093,                0.57411,                0.37299,                0.78188,                 1.0169,                0.68735,                0.92074,              0.0098218,              0.0098218,              0.0098218
                     11,                0.78427,                 1.0248,                0.66308,                0.98923,                 0.7309,                0.70175,                0.69862,                0.48039,                0.73751,                 0.6766,                0.66544,                0.41577,                 0.7305,                  1.018,                0.59655,                0.90641,               0.009802,               0.009802,               0.009802
                     12,                0.76299,                 0.9848,                0.64089,                  0.987,                0.75981,                0.69528,                0.67002,                0.45548,                0.75362,                0.67136,                0.64717,                0.40549,                0.75382,                0.96834,                 0.6185,                0.90698,              0.0097822,              0.0097822,              0.0097822
                     13,                 0.7711,                 1.0228,                0.64616,                0.97643,                0.70595,                0.65725,                0.67272,                0.46218,                0.68498,                0.61797,                 0.6301,                0.40772,                0.73476,                0.99236,                0.60693,                0.90158,              0.0097624,              0.0097624,              0.0097624
                     14,                0.76042,                 1.0071,                0.63426,                0.98143,                0.72416,                0.71729,                0.69427,                0.46728,                 0.7673,                0.66626,                0.65526,                0.40419,                0.72282,                0.96937,                0.62774,                0.90132,              0.0097426,              0.0097426,              0.0097426
                     15,                0.75657,                0.97791,                0.61883,                0.98343,                0.72078,                0.69831,                0.68368,                0.46501,                0.70959,                0.69905,                0.66548,                0.41074,                0.74369,                0.98605,                0.59845,                0.91216,              0.0097228,              0.0097228,              0.0097228
                     16,                0.75726,                 1.0037,                0.61756,                 0.9804,                0.77677,                0.72299,                 0.7122,                0.47869,                0.72181,                0.66925,                0.63722,                0.38812,                0.70284,                0.97631,                0.55501,                 0.8937,               0.009703,               0.009703,               0.009703
                     17,                0.74563,                0.96763,                0.60736,                0.98012,                0.74177,                0.71364,                0.68342,                0.46629,                0.70683,                0.67892,                0.63963,                0.40167,                0.75543,                  1.057,                  0.586,                0.91003,              0.0096832,              0.0096832,              0.0096832
                     18,                0.74458,                0.95826,                0.59842,                0.97049,                 0.7578,                0.71713,                0.71278,                0.49118,                0.73043,                0.68005,                0.67519,                0.41524,                0.74948,                0.97651,                0.57914,                0.90427,              0.0096634,              0.0096634,              0.0096634
