                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.88731,                 1.6058,                 2.8302,                0.97923,                0.97992,                0.22196,                0.34925,                0.27796,                0.97992,                0.22196,                0.35003,                0.26774,                0.80129,                 1.1327,                  1.951,                0.87492,                0.07037,              0.0032922,              0.0032922
                      1,                0.82936,                 1.1101,                 1.1456,                0.92206,                 0.5448,                0.50859,                0.51326,                0.36052,                0.53704,                0.50322,                0.50082,                0.34342,                0.83318,                 1.1137,                 1.0818,                0.91182,               0.040357,              0.0066124,              0.0066124
                      2,                0.86886,                 1.1206,                0.97731,                0.94786,                0.57015,                0.58987,                0.54374,                0.36378,                0.55548,                0.57106,                0.52256,                0.33615,                 0.8699,                 1.1342,                0.90576,                0.91787,               0.010331,              0.0099194,              0.0099194
                      3,                0.90907,                   1.15,                0.91835,                0.96494,                0.63224,                0.62062,                0.60599,                0.39719,                0.61353,                0.59918,                0.58204,                0.35907,                0.84685,                 1.1017,                0.88308,                0.90993,              0.0099406,              0.0099406,              0.0099406
                      4,                0.89595,                 1.1173,                0.86213,                0.96676,                0.50715,                0.58625,                  0.536,                0.29564,                0.47153,                0.52835,                0.46156,                0.23156,                 1.4553,                 2.3923,                 1.8637,                  1.458,              0.0099406,              0.0099406,              0.0099406
                      5,                0.87935,                 1.1383,                0.82872,                0.96068,                0.65076,                0.31319,                0.36746,                0.19623,                0.61991,                0.29907,                0.33617,                0.16381,                 1.7076,                 2.6084,                 1.6797,                 1.4006,              0.0099208,              0.0099208,              0.0099208
                      6,                0.87693,                 1.0708,                0.79737,                0.95713,                0.66826,                0.66116,                0.65127,                0.43911,                0.63108,                0.64037,                 0.6126,                0.39968,                0.80137,                 1.0719,                0.74013,                0.90607,               0.009901,               0.009901,               0.009901
                      7,                   0.84,                 1.0776,                0.75795,                0.94535,                0.73161,                0.68057,                 0.6822,                0.44978,                0.71627,                0.66328,                0.66099,                0.41066,                0.84442,                 1.1347,                0.73746,                0.92159,              0.0098812,              0.0098812,              0.0098812
                      8,                0.83775,                 1.0539,                0.74175,                0.95509,                0.74668,                0.62785,                0.65607,                0.42871,                0.73797,                0.62308,                0.63375,                0.39531,                0.85658,                 1.1137,                0.75037,                0.93235,              0.0098614,              0.0098614,              0.0098614
                      9,                0.84592,                  1.056,                0.70684,                0.94242,                0.78319,                 0.6458,                0.68327,                0.46973,                0.74955,                0.62005,                0.65441,                0.41822,                0.77047,                 1.1181,                0.67927,                0.89643,              0.0098416,              0.0098416,              0.0098416
                     10,                0.81162,                 1.0614,                 0.6881,                0.94254,                 0.7535,                 0.6743,                0.70365,                0.47352,                0.77521,                0.63938,                0.67159,                0.42318,                0.78074,                 1.0649,                0.62742,                0.90995,              0.0098218,              0.0098218,              0.0098218
                     11,                0.81826,                  1.032,                0.67495,                0.94444,                0.74769,                0.67158,                0.69521,                0.44607,                0.67191,                0.60951,                0.61563,                0.39399,                0.80348,                 1.0589,                0.62663,                0.90931,               0.009802,               0.009802,               0.009802
                     12,                0.79112,                 1.0149,                  0.665,                 0.9319,                 0.7013,                 0.6419,                0.63243,                0.42541,                0.66994,                0.62347,                0.61119,                0.39684,                0.79457,                 1.0185,                0.70325,                0.90632,              0.0097822,              0.0097822,              0.0097822
                     13,                0.79748,                 1.0199,                0.65619,                0.93209,                0.78847,                0.70682,                0.70584,                0.45348,                0.74904,                0.67316,                 0.6646,                0.39143,                0.78784,                 1.0596,                0.57662,                0.91645,              0.0097624,              0.0097624,              0.0097624
                     14,                0.78641,                0.98684,                0.63687,                0.93078,                 0.7892,                0.70269,                0.71185,                0.46109,                0.76917,                0.65849,                0.66856,                0.39515,                0.80538,                 1.0761,                0.58611,                0.91162,              0.0097426,              0.0097426,              0.0097426
                     15,                0.77055,                0.98514,                0.61264,                 0.9336,                0.77484,                0.69534,                0.72194,                0.50167,                0.75735,                0.67992,                0.69326,                0.43034,                0.74656,                 1.0036,                0.56116,                0.89751,              0.0097228,              0.0097228,              0.0097228
                     16,                0.78383,                0.97554,                0.60897,                0.93782,                0.77995,                0.71333,                0.73236,                0.49704,                0.76249,                0.69267,                0.70477,                0.42993,                0.75427,                 1.0126,                0.57017,                0.89553,               0.009703,               0.009703,               0.009703
